_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA,CAQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
1,All alcohol conditions,"",d z,SMR01,1981/82,S92000003,d,156.6,138.3,0,:,7254,"",6435,"",0,:,1.1
2,All alcohol conditions,"",d z,SMR01,1982/83,S92000003,d,154.5,135.9,0,:,7149,"",6303,"",0,:,1.1
3,All alcohol conditions,"",d z,SMR01,1983/84,S92000003,d,170,145.8,0,:,7845,"",6762,"",0,:,1.2
4,All alcohol conditions,"",d z,SMR01,1984/85,S92000003,d,184.4,158.3,0,:,8577,"",7413,"",0,:,1.2
5,All alcohol conditions,"",d z,SMR01,1985/86,S92000003,d,207,176.9,0,:,9534,"",8190,"",0,:,1.2
6,All alcohol conditions,"",d z,SMR01,1986/87,S92000003,d,214.9,183,0,:,9939,"",8514,"",0,:,1.2
7,All alcohol conditions,"",d z,SMR01,1987/88,S92000003,d,247.2,208.4,0,:,11583,"",9837,"",0,:,1.2
8,All alcohol conditions,"",d z,SMR01,1988/89,S92000003,d,254.6,211.7,0,:,11787,"",9855,"",0,:,1.2
9,All alcohol conditions,"",d z,SMR01,1989/90,S92000003,d,271.4,227.4,0,:,12606,"",10584,"",0,:,1.2
10,All alcohol conditions,"",d z,SMR01,1990/91,S92000003,d,290.4,241.7,0,:,13536,"",11307,"",0,:,1.2
11,All alcohol conditions,"",d z,SMR01,1991/92,S92000003,d,326.6,265.5,179.2,"",15156,"",12369,"",8490,"",1.2
12,All alcohol conditions,"",d z,SMR01,1992/93,S92000003,d,368.9,296.8,200.4,"",17205,"",13911,"",9537,"",1.2
13,All alcohol conditions,"",d z,SMR01,1993/94,S92000003,d,381.2,305.1,200.9,"",17757,"",14292,"",9564,"",1.2
14,All alcohol conditions,"",d z,SMR01,1994/95,S92000003,d,427.6,338.8,220.1,"",20028,"",15918,"",10503,"",1.3
15,All alcohol conditions,"",d z,SMR01,1995/96,S92000003,d,514,398,256.4,"",24162,"",18807,"",12336,"",1.3
16,All alcohol conditions,"",d z,SMR01,1996/97,S92000003,d,584.2,445.9,280.1,"",27489,"",21072,"",13470,"",1.3
17,All alcohol conditions,"",d z,SMR01,1997/98,S92000003,d,629.4,471.8,291.6,"",29694,"",22383,"",14088,"",1.3
18,All alcohol conditions,"",d z,SMR01,1998/99,S92000003,d,645.1,480.4,288,"",30564,"",22827,"",13923,"",1.3
19,All alcohol conditions,"",d z,SMR01,1999/00,S92000003,d,686,504.1,294.9,"",32589,"",24021,"",14244,"",1.4
20,All alcohol conditions,"",d z,SMR01,2000/01,S92000003,d,677.7,492.1,276.3,"",32388,"",23547,"",13419,"",1.4
21,All alcohol conditions,"",d z,SMR01,2001/02,S92000003,d,713.9,515.7,290.6,"",34320,"",24825,"",14172,"",1.4
22,All alcohol conditions,"",d z,SMR01,2002/03,S92000003,d,743.3,532.7,295.4,"",35916,"",25761,"",14454,"",1.4
23,All alcohol conditions,"",d z,SMR01,2003/04,S92000003,d,740.7,526.8,282.6,"",35817,"",25464,"",13791,"",1.4
24,All alcohol conditions,"",d z,SMR01,2004/05,S92000003,d,795.4,555.8,306.4,"",38535,"",26949,"",14973,"",1.4
25,All alcohol conditions,"",d z,SMR01,2005/06,S92000003,d,779.6,543.2,290.6,"",38277,"",26688,"",14421,"",1.4
26,All alcohol conditions,"",d z,SMR01,2006/07,S92000003,d,809.5,557.7,293.7,"",40176,"",27681,"",14718,"",1.5
27,All alcohol conditions,"",d z,SMR01,2007/08,S92000003,d,855.4,578.1,307.6,"",43038,"",29136,"",15687,"",1.5
28,All alcohol conditions,"",d z,SMR01,2008/09,S92000003,d,828.1,560.6,290.3,"",41982,"",28425,"",14865,"",1.5
29,All alcohol conditions,"",d z,SMR01,2009/10,S92000003,d,771.7,521.2,259.9,"",39354,"",26598,"",13353,"",1.5
30,All alcohol conditions,"",d z,SMR01,2010/11,S92000003,d,759.8,510.5,256,"",38976,"",26244,"",13266,"",1.5
31,All alcohol conditions,"",d z,SMR01,2011/12,S92000003,d,749.9,502.2,252.2,"",38811,"",26046,"",13158,"",1.5
32,All alcohol conditions,"",d z,SMR01,2012/13,S92000003,d,698.9,470,232.7,"",36222,"",24414,"",12138,"",1.5
33,All alcohol conditions,"",d z,SMR01,2013/14,S92000003,d,706.2,470.5,232.8,"",36723,"",24513,"",12168,"",1.5
34,All alcohol conditions,"",d z,SMR01,2014/15,S92000003,d,675.9,453.8,221.8,"",35322,"",23724,"",11628,"",1.5
35,All alcohol conditions,"",d z,SMR01,2015/16,S92000003,d,673.4,450.5,219.3,"",35430,"",23691,"",11541,"",1.5
36,All alcohol conditions,"",d z,SMR01,2016/17,S92000003,d,685.3,455.7,223.1,"",36249,"",24075,"",11790,"",1.5
37,All alcohol conditions,"",d z,SMR01,2017/18,S92000003,d,669.6,443.7,218.3,"",35544,"",23517,"",11580,"",1.5
38,All alcohol conditions,"",d z,SMR01,2018/19,S92000003,d,671,446.4,226,"",35721,"",23769,"",12048,"",1.5
39,All alcohol conditions,"",d z,SMR01,2019/20,S92000003,d,683.3,450.6,226.8,"",36549,"",24126,"",12150,"",1.5
40,All alcohol conditions,"",d z,SMR01,2020/21,S92000003,d,617.4,401.2,199.6,"",33048,"",21501,"",10701,"",1.5
41,All alcohol conditions,"",d z,SMR01,2021/22,S92000003,d,615.3,405.6,204.2,"",33114,"",21864,"",11007,"",1.5
42,All alcohol conditions,"",d z,SMR01,2022/23,S92000003,d,531.9,354.7,171.7,"",28815,"",19263,"",9336,"",1.5
43,All alcohol conditions,"",d z,SMR01,2023/24,S92000003,d,548.2,360.7,179.4,"",29829,"",19710,"",9825,"",1.5
44,All alcohol conditions,"",d z,SMR01,1997/98,S12000033,"",702.3,535.9,0,:,1449,"",1125,"",0,:,1.3
45,All alcohol conditions,"",d z,SMR01,1997/98,S12000034,"",342.4,264.1,0,:,753,"",582,"",0,:,1.3
46,All alcohol conditions,"",d z,SMR01,1997/98,S12000041,"",335.3,264.5,0,:,360,"",285,"",0,:,1.3
47,All alcohol conditions,"",d z,SMR01,1997/98,S12000035,"",755.6,559.5,0,:,669,"",495,"",0,:,1.4
48,All alcohol conditions,"",d z,SMR01,1997/98,S12000008,"",691.1,527.7,0,:,795,"",609,"",0,:,1.3
49,All alcohol conditions,"",d z,SMR01,1997/98,S12000021,"",700.7,529.9,0,:,900,"",690,"",0,:,1.3
50,All alcohol conditions,"",d z,SMR01,1997/98,S12000028,"",779.4,553.2,0,:,852,"",609,"",0,:,1.4
51,All alcohol conditions,"",d z,SMR01,1997/98,S12000026,"",463.7,347.7,0,:,468,"",351,"",0,:,1.3
52,All alcohol conditions,"",d z,SMR01,1997/98,S12000005,"",473,342.2,0,:,216,"",159,"",0,:,1.4
53,All alcohol conditions,"",d z,SMR01,1997/98,S12000006,"",458.4,349.5,0,:,663,"",504,"",0,:,1.3
54,All alcohol conditions,"",d z,SMR01,1997/98,S12000045,"",341,278.5,0,:,348,"",282,"",0,:,1.2
55,All alcohol conditions,"",d z,SMR01,1997/98,S12000039,"",605.7,506.6,0,:,513,"",426,"",0,:,1.2
56,All alcohol conditions,"",d z,SMR01,1997/98,S12000042,"",564,438.8,0,:,798,"",627,"",0,:,1.3
57,All alcohol conditions,"",d z,SMR01,1997/98,S12000036,"",736.5,503.8,0,:,2949,"",2040,"",0,:,1.4
58,All alcohol conditions,"",d z,SMR01,1997/98,S12000014,"",338.1,271.3,0,:,447,"",360,"",0,:,1.2
59,All alcohol conditions,"",d z,SMR01,1997/98,S12000047,"",492.5,383.5,0,:,1602,"",1266,"",0,:,1.3
60,All alcohol conditions,"",d z,SMR01,1997/98,S12000049,"",1288.1,941.8,0,:,6492,"",4791,"",0,:,1.4
61,All alcohol conditions,"",d z,SMR01,1997/98,S12000017,"",693.3,529.9,0,:,1383,"",1059,"",0,:,1.3
62,All alcohol conditions,"",d z,SMR01,1997/98,S12000018,"",948.5,713.6,0,:,765,"",576,"",0,:,1.3
63,All alcohol conditions,"",d z,SMR01,1997/98,S12000050,"",428.8,339.9,0,:,1281,"",1008,"",0,:,1.3
64,All alcohol conditions,"",d z,SMR01,1997/98,S12000029,"",485.5,378.1,0,:,1368,"",1065,"",0,:,1.3
65,All alcohol conditions,"",d z,SMR01,1997/98,S12000010,"",439.6,344.3,0,:,363,"",285,"",0,:,1.3
66,All alcohol conditions,"",d z,SMR01,1997/98,S12000040,"",535.8,406.7,0,:,717,"",543,"",0,:,1.3
67,All alcohol conditions,"",d z,SMR01,1997/98,S12000019,"",531.6,379.6,0,:,396,"",282,"",0,:,1.4
68,All alcohol conditions,"",d z,SMR01,1997/98,S12000020,"",397.4,332.9,0,:,324,"",273,"",0,:,1.2
69,All alcohol conditions,"",d z,SMR01,1997/98,S12000013,"",972,700,0,:,261,"",189,"",0,:,1.4
70,All alcohol conditions,"",d z,SMR01,1997/98,S12000023,"",584.9,471.8,0,:,111,"",90,"",0,:,1.2
71,All alcohol conditions,"",d z,SMR01,1997/98,S12000048,"",380.5,289.9,0,:,495,"",378,"",0,:,1.3
72,All alcohol conditions,"",d z,SMR01,1997/98,S12000038,"",725.2,530,0,:,1149,"",837,"",0,:,1.4
73,All alcohol conditions,"",d z,SMR01,1997/98,S12000011,"",324,240,0,:,255,"",192,"",0,:,1.3
74,All alcohol conditions,"",d z,SMR01,1997/98,S12000027,"",554.4,346.6,0,:,120,"",75,"",0,:,1.6
75,All alcohol conditions,"",d z,SMR01,1997/98,S12000030,"",490.8,368.4,0,:,384,"",288,"",0,:,1.3
76,All alcohol conditions,"",d z,SMR01,1998/99,S12000033,"",712.4,520.7,0,:,1452,"",1071,"",0,:,1.4
77,All alcohol conditions,"",d z,SMR01,1998/99,S12000034,"",322.9,252.8,0,:,708,"",555,"",0,:,1.3
78,All alcohol conditions,"",d z,SMR01,1998/99,S12000041,"",328.9,264.8,0,:,351,"",285,"",0,:,1.2
79,All alcohol conditions,"",d z,SMR01,1998/99,S12000035,"",774.9,542,0,:,690,"",483,"",0,:,1.4
80,All alcohol conditions,"",d z,SMR01,1998/99,S12000008,"",688.1,528.8,0,:,798,"",612,"",0,:,1.3
81,All alcohol conditions,"",d z,SMR01,1998/99,S12000021,"",702.2,540.7,0,:,891,"",690,"",0,:,1.3
82,All alcohol conditions,"",d z,SMR01,1998/99,S12000028,"",842.4,579.6,0,:,921,"",633,"",0,:,1.5
83,All alcohol conditions,"",d z,SMR01,1998/99,S12000026,"",456.7,329.9,0,:,462,"",336,"",0,:,1.4
84,All alcohol conditions,"",d z,SMR01,1998/99,S12000005,"",634.8,422.6,0,:,285,"",192,"",0,:,1.5
85,All alcohol conditions,"",d z,SMR01,1998/99,S12000006,"",509.6,381.8,0,:,732,"",546,"",0,:,1.3
86,All alcohol conditions,"",d z,SMR01,1998/99,S12000045,"",405.7,304.9,0,:,420,"",312,"",0,:,1.3
87,All alcohol conditions,"",d z,SMR01,1998/99,S12000039,"",695.8,521.7,0,:,588,"",441,"",0,:,1.3
88,All alcohol conditions,"",d z,SMR01,1998/99,S12000042,"",582.9,457.8,0,:,816,"",645,"",0,:,1.3
89,All alcohol conditions,"",d z,SMR01,1998/99,S12000036,"",754.2,530.6,0,:,3036,"",2139,"",0,:,1.4
90,All alcohol conditions,"",d z,SMR01,1998/99,S12000014,"",377.6,308.4,0,:,513,"",420,"",0,:,1.2
91,All alcohol conditions,"",d z,SMR01,1998/99,S12000047,"",446.2,354.3,0,:,1458,"",1170,"",0,:,1.2
92,All alcohol conditions,"",d z,SMR01,1998/99,S12000049,"",1250.9,904.4,0,:,6330,"",4608,"",0,:,1.4
93,All alcohol conditions,"",d z,SMR01,1998/99,S12000017,"",769.5,586.1,0,:,1557,"",1188,"",0,:,1.3
94,All alcohol conditions,"",d z,SMR01,1998/99,S12000018,"",948.4,727.7,0,:,753,"",576,"",0,:,1.3
95,All alcohol conditions,"",d z,SMR01,1998/99,S12000050,"",542.5,415.3,0,:,1620,"",1239,"",0,:,1.3
96,All alcohol conditions,"",d z,SMR01,1998/99,S12000029,"",487.7,382.3,0,:,1365,"",1068,"",0,:,1.3
97,All alcohol conditions,"",d z,SMR01,1998/99,S12000010,"",396.7,314.4,0,:,327,"",258,"",0,:,1.3
98,All alcohol conditions,"",d z,SMR01,1998/99,S12000040,"",503.9,368.8,0,:,699,"",522,"",0,:,1.3
99,All alcohol conditions,"",d z,SMR01,1998/99,S12000019,"",485,365.5,0,:,366,"",279,"",0,:,1.3
100,All alcohol conditions,"",d z,SMR01,1998/99,S12000020,"",448.1,332.6,0,:,366,"",273,"",0,:,1.3
101,All alcohol conditions,"",d z,SMR01,1998/99,S12000013,"",1243.9,869.1,0,:,330,"",231,"",0,:,1.4
102,All alcohol conditions,"",d z,SMR01,1998/99,S12000023,"",517.3,419.3,0,:,99,"",81,"",0,:,1.2
103,All alcohol conditions,"",d z,SMR01,1998/99,S12000048,"",409.3,299.3,0,:,540,"",393,"",0,:,1.4
104,All alcohol conditions,"",d z,SMR01,1998/99,S12000038,"",770.5,575.3,0,:,1236,"",927,"",0,:,1.3
105,All alcohol conditions,"",d z,SMR01,1998/99,S12000011,"",349.9,291,0,:,285,"",237,"",0,:,1.2
106,All alcohol conditions,"",d z,SMR01,1998/99,S12000027,"",589.9,410.1,0,:,129,"",87,"",0,:,1.5
107,All alcohol conditions,"",d z,SMR01,1998/99,S12000030,"",509.9,375.7,0,:,402,"",300,"",0,:,1.3
108,All alcohol conditions,"",d z,SMR01,1999/00,S12000033,"",826.6,590.9,0,:,1695,"",1227,"",0,:,1.4
109,All alcohol conditions,"",d z,SMR01,1999/00,S12000034,"",387.9,297.2,0,:,846,"",648,"",0,:,1.3
110,All alcohol conditions,"",d z,SMR01,1999/00,S12000041,"",369.2,275.7,0,:,393,"",294,"",0,:,1.3
111,All alcohol conditions,"",d z,SMR01,1999/00,S12000035,"",888.7,601.9,0,:,789,"",531,"",0,:,1.5
112,All alcohol conditions,"",d z,SMR01,1999/00,S12000008,"",686.4,538.8,0,:,795,"",627,"",0,:,1.3
113,All alcohol conditions,"",d z,SMR01,1999/00,S12000021,"",728.4,563,0,:,951,"",738,"",0,:,1.3
114,All alcohol conditions,"",d z,SMR01,1999/00,S12000028,"",846,578.2,0,:,921,"",630,"",0,:,1.5
115,All alcohol conditions,"",d z,SMR01,1999/00,S12000026,"",497.2,354.8,0,:,498,"",357,"",0,:,1.4
116,All alcohol conditions,"",d z,SMR01,1999/00,S12000005,"",475.5,395.3,0,:,219,"",180,"",0,:,1.2
117,All alcohol conditions,"",d z,SMR01,1999/00,S12000006,"",480.3,364,0,:,690,"",522,"",0,:,1.3
118,All alcohol conditions,"",d z,SMR01,1999/00,S12000045,"",430.9,309,0,:,435,"",315,"",0,:,1.4
119,All alcohol conditions,"",d z,SMR01,1999/00,S12000039,"",873.9,638.9,0,:,735,"",540,"",0,:,1.4
120,All alcohol conditions,"",d z,SMR01,1999/00,S12000042,"",744.4,558.2,0,:,1026,"",774,"",0,:,1.3
121,All alcohol conditions,"",d z,SMR01,1999/00,S12000036,"",714.8,498.3,0,:,2859,"",2007,"",0,:,1.4
122,All alcohol conditions,"",d z,SMR01,1999/00,S12000014,"",400.5,296.5,0,:,537,"",399,"",0,:,1.3
123,All alcohol conditions,"",d z,SMR01,1999/00,S12000047,"",508.6,371.3,0,:,1674,"",1230,"",0,:,1.4
124,All alcohol conditions,"",d z,SMR01,1999/00,S12000049,"",1289.9,943.6,0,:,6540,"",4815,"",0,:,1.4
125,All alcohol conditions,"",d z,SMR01,1999/00,S12000017,"",840.6,602.3,0,:,1713,"",1224,"",0,:,1.4
126,All alcohol conditions,"",d z,SMR01,1999/00,S12000018,"",964.3,722.7,0,:,765,"",576,"",0,:,1.3
127,All alcohol conditions,"",d z,SMR01,1999/00,S12000050,"",643.4,473.5,0,:,1932,"",1422,"",0,:,1.4
128,All alcohol conditions,"",d z,SMR01,1999/00,S12000029,"",518.5,410.5,0,:,1449,"",1143,"",0,:,1.3
129,All alcohol conditions,"",d z,SMR01,1999/00,S12000010,"",458.6,355.8,0,:,384,"",300,"",0,:,1.3
130,All alcohol conditions,"",d z,SMR01,1999/00,S12000040,"",494.6,374.2,0,:,693,"",522,"",0,:,1.3
131,All alcohol conditions,"",d z,SMR01,1999/00,S12000019,"",511.9,388.5,0,:,387,"",291,"",0,:,1.3
132,All alcohol conditions,"",d z,SMR01,1999/00,S12000020,"",421.2,326.5,0,:,342,"",267,"",0,:,1.3
133,All alcohol conditions,"",d z,SMR01,1999/00,S12000013,"",1493.3,966.9,0,:,399,"",258,"",0,:,1.5
134,All alcohol conditions,"",d z,SMR01,1999/00,S12000023,"",558.1,482.5,0,:,102,"",90,"",0,:,1.1
135,All alcohol conditions,"",d z,SMR01,1999/00,S12000048,"",481.7,352.6,0,:,630,"",459,"",0,:,1.4
136,All alcohol conditions,"",d z,SMR01,1999/00,S12000038,"",844.5,622.2,0,:,1347,"",996,"",0,:,1.4
137,All alcohol conditions,"",d z,SMR01,1999/00,S12000011,"",364.2,293.4,0,:,291,"",234,"",0,:,1.2
138,All alcohol conditions,"",d z,SMR01,1999/00,S12000027,"",467.6,323,0,:,108,"",75,"",0,:,1.4
139,All alcohol conditions,"",d z,SMR01,1999/00,S12000030,"",510.5,379.6,0,:,414,"",309,"",0,:,1.3
140,All alcohol conditions,"",d z,SMR01,2000/01,S12000033,"",670,475.7,0,:,1332,"",954,"",0,:,1.4
141,All alcohol conditions,"",d z,SMR01,2000/01,S12000034,"",335.6,251,0,:,732,"",546,"",0,:,1.3
142,All alcohol conditions,"",d z,SMR01,2000/01,S12000041,"",368,270.7,0,:,393,"",288,"",0,:,1.4
143,All alcohol conditions,"",d z,SMR01,2000/01,S12000035,"",924.7,641.2,0,:,825,"",570,"",0,:,1.4
144,All alcohol conditions,"",d z,SMR01,2000/01,S12000008,"",693.4,531.1,0,:,804,"",618,"",0,:,1.3
145,All alcohol conditions,"",d z,SMR01,2000/01,S12000021,"",741.8,528.7,0,:,969,"",693,"",0,:,1.4
146,All alcohol conditions,"",d z,SMR01,2000/01,S12000028,"",768.8,522.7,0,:,831,"",570,"",0,:,1.5
147,All alcohol conditions,"",d z,SMR01,2000/01,S12000026,"",506.2,351.6,0,:,516,"",357,"",0,:,1.4
148,All alcohol conditions,"",d z,SMR01,2000/01,S12000005,"",534.1,397.9,0,:,237,"",177,"",0,:,1.3
149,All alcohol conditions,"",d z,SMR01,2000/01,S12000006,"",558.4,394,0,:,801,"",561,"",0,:,1.4
150,All alcohol conditions,"",d z,SMR01,2000/01,S12000045,"",397.1,293.1,0,:,402,"",297,"",0,:,1.4
151,All alcohol conditions,"",d z,SMR01,2000/01,S12000039,"",877,646.6,0,:,732,"",537,"",0,:,1.4
152,All alcohol conditions,"",d z,SMR01,2000/01,S12000042,"",715.9,540.2,0,:,987,"",753,"",0,:,1.3
153,All alcohol conditions,"",d z,SMR01,2000/01,S12000036,"",697.1,479.8,0,:,2850,"",1980,"",0,:,1.4
154,All alcohol conditions,"",d z,SMR01,2000/01,S12000014,"",361.7,284.8,0,:,489,"",384,"",0,:,1.3
155,All alcohol conditions,"",d z,SMR01,2000/01,S12000047,"",515.3,369.4,0,:,1713,"",1233,"",0,:,1.4
156,All alcohol conditions,"",d z,SMR01,2000/01,S12000049,"",1302.2,945.7,0,:,6564,"",4773,"",0,:,1.4
157,All alcohol conditions,"",d z,SMR01,2000/01,S12000017,"",829.5,608.9,0,:,1704,"",1248,"",0,:,1.4
158,All alcohol conditions,"",d z,SMR01,2000/01,S12000018,"",1081.2,750.6,0,:,864,"",597,"",0,:,1.4
159,All alcohol conditions,"",d z,SMR01,2000/01,S12000050,"",627.3,451.8,0,:,1914,"",1374,"",0,:,1.4
160,All alcohol conditions,"",d z,SMR01,2000/01,S12000029,"",530.1,399.4,0,:,1497,"",1131,"",0,:,1.3
161,All alcohol conditions,"",d z,SMR01,2000/01,S12000010,"",449.8,334.5,0,:,378,"",279,"",0,:,1.4
162,All alcohol conditions,"",d z,SMR01,2000/01,S12000040,"",521,378.3,0,:,750,"",549,"",0,:,1.4
163,All alcohol conditions,"",d z,SMR01,2000/01,S12000019,"",518.9,401.8,0,:,396,"",306,"",0,:,1.3
164,All alcohol conditions,"",d z,SMR01,2000/01,S12000020,"",511.1,381.4,0,:,423,"",318,"",0,:,1.3
165,All alcohol conditions,"",d z,SMR01,2000/01,S12000013,"",1353,928.5,0,:,357,"",246,"",0,:,1.5
166,All alcohol conditions,"",d z,SMR01,2000/01,S12000023,"",722.7,552.8,0,:,138,"",105,"",0,:,1.3
167,All alcohol conditions,"",d z,SMR01,2000/01,S12000048,"",546.7,407.4,0,:,714,"",531,"",0,:,1.3
168,All alcohol conditions,"",d z,SMR01,2000/01,S12000038,"",760.5,570.7,0,:,1239,"",924,"",0,:,1.3
169,All alcohol conditions,"",d z,SMR01,2000/01,S12000011,"",370.2,290.1,0,:,297,"",231,"",0,:,1.3
170,All alcohol conditions,"",d z,SMR01,2000/01,S12000027,"",432.2,347.3,0,:,96,"",75,"",0,:,1.3
171,All alcohol conditions,"",d z,SMR01,2000/01,S12000030,"",511.9,389.1,0,:,420,"",318,"",0,:,1.3
172,All alcohol conditions,"",d z,SMR01,2001/02,S12000033,"",719.5,528.6,0,:,1452,"",1077,"",0,:,1.3
173,All alcohol conditions,"",d z,SMR01,2001/02,S12000034,"",321.2,249.4,0,:,720,"",558,"",0,:,1.3
174,All alcohol conditions,"",d z,SMR01,2001/02,S12000041,"",377.6,284.1,0,:,402,"",300,"",0,:,1.3
175,All alcohol conditions,"",d z,SMR01,2001/02,S12000035,"",810.6,584.2,0,:,723,"",522,"",0,:,1.4
176,All alcohol conditions,"",d z,SMR01,2001/02,S12000008,"",809.6,611.4,0,:,936,"",711,"",0,:,1.3
177,All alcohol conditions,"",d z,SMR01,2001/02,S12000021,"",970,646.4,0,:,1254,"",843,"",0,:,1.5
178,All alcohol conditions,"",d z,SMR01,2001/02,S12000028,"",874.3,588.2,0,:,954,"",639,"",0,:,1.5
179,All alcohol conditions,"",d z,SMR01,2001/02,S12000026,"",573.9,398.8,0,:,591,"",411,"",0,:,1.4
180,All alcohol conditions,"",d z,SMR01,2001/02,S12000005,"",570.9,408.1,0,:,270,"",192,"",0,:,1.4
181,All alcohol conditions,"",d z,SMR01,2001/02,S12000006,"",522,367.4,0,:,756,"",531,"",0,:,1.4
182,All alcohol conditions,"",d z,SMR01,2001/02,S12000045,"",358.5,267.1,0,:,369,"",279,"",0,:,1.3
183,All alcohol conditions,"",d z,SMR01,2001/02,S12000039,"",813,572.4,0,:,690,"",480,"",0,:,1.4
184,All alcohol conditions,"",d z,SMR01,2001/02,S12000042,"",696.5,504.2,0,:,939,"",690,"",0,:,1.4
185,All alcohol conditions,"",d z,SMR01,2001/02,S12000036,"",758.5,523.3,0,:,3129,"",2157,"",0,:,1.5
186,All alcohol conditions,"",d z,SMR01,2001/02,S12000014,"",362.2,269,0,:,504,"",372,"",0,:,1.4
187,All alcohol conditions,"",d z,SMR01,2001/02,S12000047,"",513.5,386.6,0,:,1728,"",1299,"",0,:,1.3
188,All alcohol conditions,"",d z,SMR01,2001/02,S12000049,"",1330,936,0,:,6711,"",4749,"",0,:,1.4
189,All alcohol conditions,"",d z,SMR01,2001/02,S12000017,"",1038.5,750.3,0,:,2130,"",1530,"",0,:,1.4
190,All alcohol conditions,"",d z,SMR01,2001/02,S12000018,"",950.3,742.3,0,:,756,"",591,"",0,:,1.3
191,All alcohol conditions,"",d z,SMR01,2001/02,S12000050,"",680,500.9,0,:,2100,"",1539,"",0,:,1.4
192,All alcohol conditions,"",d z,SMR01,2001/02,S12000029,"",571.7,422.2,0,:,1635,"",1206,"",0,:,1.4
193,All alcohol conditions,"",d z,SMR01,2001/02,S12000010,"",469.1,372.6,0,:,393,"",312,"",0,:,1.3
194,All alcohol conditions,"",d z,SMR01,2001/02,S12000040,"",577.9,411.2,0,:,852,"",600,"",0,:,1.4
195,All alcohol conditions,"",d z,SMR01,2001/02,S12000019,"",576.5,440.4,0,:,441,"",336,"",0,:,1.3
196,All alcohol conditions,"",d z,SMR01,2001/02,S12000020,"",617.4,473.9,0,:,513,"",396,"",0,:,1.3
197,All alcohol conditions,"",d z,SMR01,2001/02,S12000013,"",1494.6,1107.2,0,:,396,"",294,"",0,:,1.3
198,All alcohol conditions,"",d z,SMR01,2001/02,S12000023,"",693.8,537.5,0,:,132,"",99,"",0,:,1.3
199,All alcohol conditions,"",d z,SMR01,2001/02,S12000048,"",546.7,399.3,0,:,711,"",516,"",0,:,1.4
200,All alcohol conditions,"",d z,SMR01,2001/02,S12000038,"",736,559.3,0,:,1191,"",903,"",0,:,1.3
201,All alcohol conditions,"",d z,SMR01,2001/02,S12000011,"",433.2,306.3,0,:,354,"",252,"",0,:,1.4
202,All alcohol conditions,"",d z,SMR01,2001/02,S12000027,"",351.3,288.8,0,:,78,"",63,"",0,:,1.2
203,All alcohol conditions,"",d z,SMR01,2001/02,S12000030,"",572.3,430.3,0,:,474,"",354,"",0,:,1.3
204,All alcohol conditions,"",d z,SMR01,2002/03,S12000033,"",741.2,536.4,0,:,1485,"",1086,"",0,:,1.4
205,All alcohol conditions,"",d z,SMR01,2002/03,S12000034,"",368.6,271,0,:,831,"",606,"",0,:,1.4
206,All alcohol conditions,"",d z,SMR01,2002/03,S12000041,"",364.3,270.2,0,:,384,"",285,"",0,:,1.3
207,All alcohol conditions,"",d z,SMR01,2002/03,S12000035,"",844.2,620.2,0,:,753,"",555,"",0,:,1.4
208,All alcohol conditions,"",d z,SMR01,2002/03,S12000008,"",983.7,687.2,0,:,1146,"",804,"",0,:,1.4
209,All alcohol conditions,"",d z,SMR01,2002/03,S12000021,"",1095,714.9,0,:,1416,"",933,"",0,:,1.5
210,All alcohol conditions,"",d z,SMR01,2002/03,S12000028,"",1035.6,683.8,0,:,1122,"",741,"",0,:,1.5
211,All alcohol conditions,"",d z,SMR01,2002/03,S12000026,"",576.2,411.3,0,:,597,"",423,"",0,:,1.4
212,All alcohol conditions,"",d z,SMR01,2002/03,S12000005,"",685.6,505.4,0,:,321,"",237,"",0,:,1.4
213,All alcohol conditions,"",d z,SMR01,2002/03,S12000006,"",553,398.8,0,:,801,"",570,"",0,:,1.4
214,All alcohol conditions,"",d z,SMR01,2002/03,S12000045,"",359.1,269.8,0,:,366,"",279,"",0,:,1.3
215,All alcohol conditions,"",d z,SMR01,2002/03,S12000039,"",968.6,696.4,0,:,819,"",588,"",0,:,1.4
216,All alcohol conditions,"",d z,SMR01,2002/03,S12000042,"",670.7,488.1,0,:,912,"",672,"",0,:,1.4
217,All alcohol conditions,"",d z,SMR01,2002/03,S12000036,"",706.1,492.9,0,:,2883,"",2010,"",0,:,1.4
218,All alcohol conditions,"",d z,SMR01,2002/03,S12000014,"",406.8,302.7,0,:,567,"",420,"",0,:,1.4
219,All alcohol conditions,"",d z,SMR01,2002/03,S12000047,"",501.9,395.5,0,:,1692,"",1335,"",0,:,1.3
220,All alcohol conditions,"",d z,SMR01,2002/03,S12000049,"",1357.3,965.1,0,:,6858,"",4878,"",0,:,1.4
221,All alcohol conditions,"",d z,SMR01,2002/03,S12000017,"",1098.6,767.3,0,:,2271,"",1572,"",0,:,1.4
222,All alcohol conditions,"",d z,SMR01,2002/03,S12000018,"",1100.6,781.7,0,:,885,"",627,"",0,:,1.4
223,All alcohol conditions,"",d z,SMR01,2002/03,S12000050,"",735.4,510.6,0,:,2268,"",1557,"",0,:,1.5
